id,title,text,keywords,category,intent
2045,Machine Learning,Computers can learn from examples and improve predictions using machine learning. This option is available when applicable for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2046,Python,Data scientists commonly use Python for machine learning projects. This option is available when applicable for case 1.,"Python, programming, data science, machine learning, software",Programming,python
2047,Health Insurance,Eligible staff members can receive medical insurance benefits through the company. This option is available when applicable for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
2048,Work From Home,The organization supports working from home under its flexible work rules. This option is available when applicable for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
2049,Deep Learning,Neural networks with many layers can learn sophisticated patterns through deep learning. This option is available when applicable for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2050,Employee Benefits,"Employee benefits include healthcare coverage, leave and retirement programs. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2051,Phishing Protection,"According to the policy, employees should avoid suspicious links in unexpected emails to reduce phishing risks. This option is available when applicable for case 2.","phishing, email, security, fraud, links",Security,phishing
2052,SQL,"According to the policy, sQL is used to query and manage information stored in relational databases. This option is available when applicable for case 2.","SQL, database, query, data, tables",Programming,sql
2053,Data Science,"According to the policy, data science combines data analysis, statistics and machine learning to solve problems. This option is available when applicable for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2054,Sick Leave,"According to the policy, employees can request sick leave when they are unable to work because of illness. This option is available when applicable for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
2055,Data Privacy,"According to the policy, organizations should protect personal information from unauthorized access. This option is available when applicable for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
2056,Cloud Computing,"According to the policy, cloud computing provides computing resources through internet-based services. This option is available when applicable for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2057,API,"According to the policy, an API allows different software applications to communicate with each other. This option is available when applicable for case 2.","API, software, integration, applications, requests",Technology,api
2058,Natural Language Processing,"According to the policy, natural language processing enables computers to work with human language. This option is available when applicable for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
2059,Semantic Search,"According to the policy, semantic search retrieves documents based on meaning rather than exact keyword matches. This option is available when applicable for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2060,Customer Support,"According to the policy, customers can contact support when they need help with a product or service. This option is available when applicable for case 2.","customer support, help, service, customers, tickets",Business,customer_support
2061,Password Reset,Users can regain account access by creating a new password. This option is available when applicable for case 1.,"password, reset, recovery, account, login",IT,password_recovery
2062,Account Recovery,The account recovery process requires verification of the registered email. This option is available when applicable for case 1.,"account recovery, email verification, account access, registered email",IT,account_recovery
2063,Remote Work Policy,Staff members can perform their duties remotely within the monthly limit. This option is available when applicable for case 1.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
2064,Annual Leave,Employees can take up to 20 paid leave days during the year. This option is available when applicable for case 1.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2065,Machine Learning,Machine learning enables software to discover patterns without explicit programming. This option is available when applicable for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2066,Python,Python provides a flexible programming environment for data analysis. This option is available when applicable for case 1.,"Python, programming, data science, machine learning, software",Programming,python
2067,Health Insurance,Employees may access company-sponsored healthcare coverage. This option is available when applicable for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
2068,Work From Home,Employees can perform their responsibilities from home under the remote work arrangement. This option is available when applicable for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
2069,Deep Learning,Deep learning applies multiple neural network layers to extract complex representations. This option is available when applicable for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2070,Employee Benefits,Staff members can receive several benefits through the company's employee benefits program. This option is available when applicable for case 1.,"employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2071,Phishing Protection,"According to the policy, phishing protection helps users identify fraudulent messages and unsafe links. This option is available when applicable for case 2.","phishing, email, security, fraud, links",Security,phishing
2072,SQL,"According to the policy, developers use SQL to retrieve and manipulate data in database tables. This option is available when applicable for case 2.","SQL, database, query, data, tables",Programming,sql
2073,Data Science,"According to the policy, data scientists analyze information to discover useful insights and patterns. This option is available when applicable for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2074,Sick Leave,"According to the policy, sick leave allows employees to take time away from work when they are unwell. This option is available when applicable for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
2075,Data Privacy,"According to the policy, data privacy practices help protect sensitive personal information. This option is available when applicable for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
2076,Cloud Computing,"According to the policy, organizations can use cloud platforms for storage, applications and computing. This option is available when applicable for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2077,API,"According to the policy, applications can exchange data and functionality through APIs. This option is available when applicable for case 2.","API, software, integration, applications, requests",Technology,api
2078,Natural Language Processing,"According to the policy, nLP techniques can analyze and understand text written in natural language. This option is available when applicable for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
2079,Semantic Search,"According to the policy, a semantic search system finds relevant documents by understanding the meaning of a query. This option is available when applicable for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2080,Customer Support,"According to the policy, customer support teams assist users with questions and service issues. This option is available when applicable for case 2.","customer support, help, service, customers, tickets",Business,customer_support
2081,Password Reset,The password recovery page allows users to set a new account password. This option is available when applicable for case 1.,"password, reset, recovery, account, login",IT,password_recovery
2082,Account Recovery,A registered email address can be used to recover a user account. This option is available when applicable for case 1.,"account recovery, email verification, account access, registered email",IT,account_recovery
2083,Remote Work Policy,Employees can use the company's remote working arrangement each month. This option is available when applicable for case 1.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
2084,Annual Leave,Each employee receives an annual allowance of 20 paid leave days. This option is available when applicable for case 1.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2085,Machine Learning,Algorithms can learn relationships in data and use them for future predictions. This option is available when applicable for case 1.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2086,Python,Many machine learning developers use Python to build intelligent applications. This option is available when applicable for case 1.,"Python, programming, data science, machine learning, software",Programming,python
2087,Health Insurance,Health insurance is included among the benefits available to eligible employees. This option is available when applicable for case 1.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
2088,Work From Home,The work from home option allows eligible employees to work outside the office. This option is available when applicable for case 1.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
2089,Deep Learning,Layered neural networks are commonly used to solve complex learning problems. This option is available when applicable for case 1.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2090,Employee Benefits,"The organization's benefits package includes insurance, leave and retirement-related benefits. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2091,Phishing Protection,"According to the policy, security awareness can help employees recognize phishing attempts. This option is available when applicable for case 2.","phishing, email, security, fraud, links",Security,phishing
2092,SQL,"According to the policy, database queries can be written in SQL to find relevant records. This option is available when applicable for case 2.","SQL, database, query, data, tables",Programming,sql
2093,Data Science,"According to the policy, data science uses computational and statistical methods to understand data. This option is available when applicable for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2094,Sick Leave,"According to the policy, staff members should follow the leave process when taking sick days. This option is available when applicable for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
2095,Data Privacy,"According to the policy, personal data should be handled securely according to privacy requirements. This option is available when applicable for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
2096,Cloud Computing,"According to the policy, cloud services allow businesses to access computing resources without managing all physical infrastructure. This option is available when applicable for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2097,API,"According to the policy, aPIs provide defined interfaces for software integration and communication. This option is available when applicable for case 2.","API, software, integration, applications, requests",Technology,api
2098,Natural Language Processing,"According to the policy, natural language processing is used for tasks such as text classification and search. This option is available when applicable for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
2099,Semantic Search,"According to the policy, semantic similarity can help search systems retrieve conceptually related documents. This option is available when applicable for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2100,Customer Support,"According to the policy, support representatives help customers resolve problems and answer questions. This option is available when applicable for case 2.","customer support, help, service, customers, tickets",Business,customer_support
2101,Password Reset,"Generally, users can reset their account password through the password recovery page. This option is available when applicable for case 1.","password, reset, recovery, account, login",IT,password_recovery
2102,Account Recovery,"Generally, users can recover their account by verifying their registered email address. This option is available when applicable for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
2103,Remote Work Policy,"Generally, employees are allowed to work remotely for up to 10 days per month. This option is available when applicable for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
2104,Annual Leave,"Generally, employees receive 20 days of paid annual leave every year. This option is available when applicable for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2105,Machine Learning,"Generally, machine learning allows computers to learn patterns from data. This option is available when applicable for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2106,Python,"Generally, python is a popular programming language used for data science and machine learning. This option is available when applicable for case 1.","Python, programming, data science, machine learning, software",Programming,python
2107,Health Insurance,"Generally, employees are eligible for company health insurance benefits. This option is available when applicable for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
2108,Work From Home,"Generally, employees may work from home according to the company's remote work policy. This option is available when applicable for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
2109,Deep Learning,"Generally, deep learning uses neural networks with multiple layers to learn complex patterns. This option is available when applicable for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2110,Employee Benefits,"Generally, employees receive various benefits including insurance, leave and retirement benefits. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2111,Phishing Protection,"In the organization, employees should avoid suspicious links in unexpected emails to reduce phishing risks. This option is available when applicable for case 2.","phishing, email, security, fraud, links",Security,phishing
2112,SQL,"In the organization, sQL is used to query and manage information stored in relational databases. This option is available when applicable for case 2.","SQL, database, query, data, tables",Programming,sql
2113,Data Science,"In the organization, data science combines data analysis, statistics and machine learning to solve problems. This option is available when applicable for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2114,Sick Leave,"In the organization, employees can request sick leave when they are unable to work because of illness. This option is available when applicable for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
2115,Data Privacy,"In the organization, organizations should protect personal information from unauthorized access. This option is available when applicable for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
2116,Cloud Computing,"In the organization, cloud computing provides computing resources through internet-based services. This option is available when applicable for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2117,API,"In the organization, an API allows different software applications to communicate with each other. This option is available when applicable for case 2.","API, software, integration, applications, requests",Technology,api
2118,Natural Language Processing,"In the organization, natural language processing enables computers to work with human language. This option is available when applicable for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
2119,Semantic Search,"In the organization, semantic search retrieves documents based on meaning rather than exact keyword matches. This option is available when applicable for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2120,Customer Support,"In the organization, customers can contact support when they need help with a product or service. This option is available when applicable for case 2.","customer support, help, service, customers, tickets",Business,customer_support
2121,Password Reset,"Generally, users can change a forgotten password using the account recovery option. This option is available when applicable for case 1.","password, reset, recovery, account, login",IT,password_recovery
2122,Account Recovery,"Generally, account access can be restored after the registered email is verified. This option is available when applicable for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
2123,Remote Work Policy,"Generally, employees may work from home according to the company's remote work policy. This option is available when applicable for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
2124,Annual Leave,"Generally, staff members are entitled to 20 paid vacation days each year. This option is available when applicable for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2125,Machine Learning,"Generally, machine learning systems identify useful patterns in data to make predictions. This option is available when applicable for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2126,Python,"Generally, python is widely used to build applications and analyze data. This option is available when applicable for case 1.","Python, programming, data science, machine learning, software",Programming,python
2127,Health Insurance,"Generally, the company provides health insurance coverage to eligible employees. This option is available when applicable for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
2128,Work From Home,"Generally, staff members can work from home when permitted by company policy. This option is available when applicable for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
2129,Deep Learning,"Generally, deep learning models use layered neural networks to understand complex data. This option is available when applicable for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2130,Employee Benefits,"Generally, the company offers employees benefits such as insurance, paid leave and retirement support. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2131,Phishing Protection,"In the organization, phishing protection helps users identify fraudulent messages and unsafe links. This option is available when applicable for case 2.","phishing, email, security, fraud, links",Security,phishing
2132,SQL,"In the organization, developers use SQL to retrieve and manipulate data in database tables. This option is available when applicable for case 2.","SQL, database, query, data, tables",Programming,sql
2133,Data Science,"In the organization, data scientists analyze information to discover useful insights and patterns. This option is available when applicable for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2134,Sick Leave,"In the organization, sick leave allows employees to take time away from work when they are unwell. This option is available when applicable for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
2135,Data Privacy,"In the organization, data privacy practices help protect sensitive personal information. This option is available when applicable for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
2136,Cloud Computing,"In the organization, organizations can use cloud platforms for storage, applications and computing. This option is available when applicable for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2137,API,"In the organization, applications can exchange data and functionality through APIs. This option is available when applicable for case 2.","API, software, integration, applications, requests",Technology,api
2138,Natural Language Processing,"In the organization, nLP techniques can analyze and understand text written in natural language. This option is available when applicable for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
2139,Semantic Search,"In the organization, a semantic search system finds relevant documents by understanding the meaning of a query. This option is available when applicable for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2140,Customer Support,"In the organization, customer support teams assist users with questions and service issues. This option is available when applicable for case 2.","customer support, help, service, customers, tickets",Business,customer_support
2141,Password Reset,"Generally, a forgotten password can be reset through the account recovery process. This option is available when applicable for case 1.","password, reset, recovery, account, login",IT,password_recovery
2142,Account Recovery,"Generally, users can regain access to an account through email verification. This option is available when applicable for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
2143,Remote Work Policy,"Generally, the company permits employees to work remotely under its flexible work policy. This option is available when applicable for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
2144,Annual Leave,"Generally, the company provides employees with 20 days of annual paid leave. This option is available when applicable for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2145,Machine Learning,"Generally, computers can learn from examples and improve predictions using machine learning. This option is available when applicable for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2146,Python,"Generally, data scientists commonly use Python for machine learning projects. This option is available when applicable for case 1.","Python, programming, data science, machine learning, software",Programming,python
2147,Health Insurance,"Generally, eligible staff members can receive medical insurance benefits through the company. This option is available when applicable for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
2148,Work From Home,"Generally, the organization supports working from home under its flexible work rules. This option is available when applicable for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
2149,Deep Learning,"Generally, neural networks with many layers can learn sophisticated patterns through deep learning. This option is available when applicable for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2150,Employee Benefits,"Generally, employee benefits include healthcare coverage, leave and retirement programs. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2151,Phishing Protection,"In the organization, security awareness can help employees recognize phishing attempts. This option is available when applicable for case 2.","phishing, email, security, fraud, links",Security,phishing
2152,SQL,"In the organization, database queries can be written in SQL to find relevant records. This option is available when applicable for case 2.","SQL, database, query, data, tables",Programming,sql
2153,Data Science,"In the organization, data science uses computational and statistical methods to understand data. This option is available when applicable for case 2.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2154,Sick Leave,"In the organization, staff members should follow the leave process when taking sick days. This option is available when applicable for case 2.","sick leave, illness, leave, employees, absence",HR,sick_leave
2155,Data Privacy,"In the organization, personal data should be handled securely according to privacy requirements. This option is available when applicable for case 2.","privacy, personal data, security, information, compliance",Security,data_privacy
2156,Cloud Computing,"In the organization, cloud services allow businesses to access computing resources without managing all physical infrastructure. This option is available when applicable for case 2.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2157,API,"In the organization, aPIs provide defined interfaces for software integration and communication. This option is available when applicable for case 2.","API, software, integration, applications, requests",Technology,api
2158,Natural Language Processing,"In the organization, natural language processing is used for tasks such as text classification and search. This option is available when applicable for case 2.","NLP, language, text, AI, natural language",AI/ML,nlp
2159,Semantic Search,"In the organization, semantic similarity can help search systems retrieve conceptually related documents. This option is available when applicable for case 2.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2160,Customer Support,"In the organization, support representatives help customers resolve problems and answer questions. This option is available when applicable for case 2.","customer support, help, service, customers, tickets",Business,customer_support
2161,Password Reset,"Generally, users can regain account access by creating a new password. This option is available when applicable for case 1.","password, reset, recovery, account, login",IT,password_recovery
2162,Account Recovery,"Generally, the account recovery process requires verification of the registered email. This option is available when applicable for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
2163,Remote Work Policy,"Generally, staff members can perform their duties remotely within the monthly limit. This option is available when applicable for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
2164,Annual Leave,"Generally, employees can take up to 20 paid leave days during the year. This option is available when applicable for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2165,Machine Learning,"Generally, machine learning enables software to discover patterns without explicit programming. This option is available when applicable for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2166,Python,"Generally, python provides a flexible programming environment for data analysis. This option is available when applicable for case 1.","Python, programming, data science, machine learning, software",Programming,python
2167,Health Insurance,"Generally, employees may access company-sponsored healthcare coverage. This option is available when applicable for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
2168,Work From Home,"Generally, employees can perform their responsibilities from home under the remote work arrangement. This option is available when applicable for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
2169,Deep Learning,"Generally, deep learning applies multiple neural network layers to extract complex representations. This option is available when applicable for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2170,Employee Benefits,"Generally, staff members can receive several benefits through the company's employee benefits program. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2171,Phishing Protection,Employees should avoid suspicious links in unexpected emails to reduce phishing risks for case 3.,"phishing, email, security, fraud, links",Security,phishing
2172,SQL,SQL is used to query and manage information stored in relational databases for case 3.,"SQL, database, query, data, tables",Programming,sql
2173,Data Science,"Data science combines data analysis, statistics and machine learning to solve problems for case 3.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2174,Sick Leave,Employees can request sick leave when they are unable to work because of illness for case 3.,"sick leave, illness, leave, employees, absence",HR,sick_leave
2175,Data Privacy,Organizations should protect personal information from unauthorized access for case 3.,"privacy, personal data, security, information, compliance",Security,data_privacy
2176,Cloud Computing,Cloud computing provides computing resources through internet-based services for case 3.,"cloud, servers, storage, computing, technology",Technology,cloud_computing
2177,API,An API allows different software applications to communicate with each other for case 3.,"API, software, integration, applications, requests",Technology,api
2178,Natural Language Processing,Natural language processing enables computers to work with human language for case 3.,"NLP, language, text, AI, natural language",AI/ML,nlp
2179,Semantic Search,Semantic search retrieves documents based on meaning rather than exact keyword matches for case 3.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2180,Customer Support,Customers can contact support when they need help with a product or service for case 3.,"customer support, help, service, customers, tickets",Business,customer_support
2181,Password Reset,"Generally, the password recovery page allows users to set a new account password. This option is available when applicable for case 1.","password, reset, recovery, account, login",IT,password_recovery
2182,Account Recovery,"Generally, a registered email address can be used to recover a user account. This option is available when applicable for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
2183,Remote Work Policy,"Generally, employees can use the company's remote working arrangement each month. This option is available when applicable for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
2184,Annual Leave,"Generally, each employee receives an annual allowance of 20 paid leave days. This option is available when applicable for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2185,Machine Learning,"Generally, algorithms can learn relationships in data and use them for future predictions. This option is available when applicable for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2186,Python,"Generally, many machine learning developers use Python to build intelligent applications. This option is available when applicable for case 1.","Python, programming, data science, machine learning, software",Programming,python
2187,Health Insurance,"Generally, health insurance is included among the benefits available to eligible employees. This option is available when applicable for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
2188,Work From Home,"Generally, the work from home option allows eligible employees to work outside the office. This option is available when applicable for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
2189,Deep Learning,"Generally, layered neural networks are commonly used to solve complex learning problems. This option is available when applicable for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2190,Employee Benefits,"Generally, the organization's benefits package includes insurance, leave and retirement-related benefits. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2191,Phishing Protection,Phishing protection helps users identify fraudulent messages and unsafe links for case 3.,"phishing, email, security, fraud, links",Security,phishing
2192,SQL,Developers use SQL to retrieve and manipulate data in database tables for case 3.,"SQL, database, query, data, tables",Programming,sql
2193,Data Science,Data scientists analyze information to discover useful insights and patterns for case 3.,"data science, analysis, statistics, machine learning, data",AI/ML,data_science
2194,Sick Leave,Sick leave allows employees to take time away from work when they are unwell for case 3.,"sick leave, illness, leave, employees, absence",HR,sick_leave
2195,Data Privacy,Data privacy practices help protect sensitive personal information for case 3.,"privacy, personal data, security, information, compliance",Security,data_privacy
2196,Cloud Computing,"Organizations can use cloud platforms for storage, applications and computing for case 3.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2197,API,Applications can exchange data and functionality through APIs for case 3.,"API, software, integration, applications, requests",Technology,api
2198,Natural Language Processing,NLP techniques can analyze and understand text written in natural language for case 3.,"NLP, language, text, AI, natural language",AI/ML,nlp
2199,Semantic Search,A semantic search system finds relevant documents by understanding the meaning of a query for case 3.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2200,Customer Support,Customer support teams assist users with questions and service issues for case 3.,"customer support, help, service, customers, tickets",Business,customer_support
2201,Password Reset,"According to the policy, users can reset their account password through the password recovery page. This option is available when applicable for case 1.","password, reset, recovery, account, login",IT,password_recovery
2202,Account Recovery,"According to the policy, users can recover their account by verifying their registered email address. This option is available when applicable for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
2203,Remote Work Policy,"According to the policy, employees are allowed to work remotely for up to 10 days per month. This option is available when applicable for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
2204,Annual Leave,"According to the policy, employees receive 20 days of paid annual leave every year. This option is available when applicable for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2205,Machine Learning,"According to the policy, machine learning allows computers to learn patterns from data. This option is available when applicable for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2206,Python,"According to the policy, python is a popular programming language used for data science and machine learning. This option is available when applicable for case 1.","Python, programming, data science, machine learning, software",Programming,python
2207,Health Insurance,"According to the policy, employees are eligible for company health insurance benefits. This option is available when applicable for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
2208,Work From Home,"According to the policy, employees may work from home according to the company's remote work policy. This option is available when applicable for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
2209,Deep Learning,"According to the policy, deep learning uses neural networks with multiple layers to learn complex patterns. This option is available when applicable for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2210,Employee Benefits,"According to the policy, employees receive various benefits including insurance, leave and retirement benefits. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2211,Phishing Protection,Security awareness can help employees recognize phishing attempts for case 3.,"phishing, email, security, fraud, links",Security,phishing
2212,SQL,Database queries can be written in SQL to find relevant records for case 3.,"SQL, database, query, data, tables",Programming,sql
2213,Data Science,Data science uses computational and statistical methods to understand data for case 3.,"data science, analysis, statistics, machine learning, data",AI/ML,data_science
2214,Sick Leave,Staff members should follow the leave process when taking sick days for case 3.,"sick leave, illness, leave, employees, absence",HR,sick_leave
2215,Data Privacy,Personal data should be handled securely according to privacy requirements for case 3.,"privacy, personal data, security, information, compliance",Security,data_privacy
2216,Cloud Computing,Cloud services allow businesses to access computing resources without managing all physical infrastructure for case 3.,"cloud, servers, storage, computing, technology",Technology,cloud_computing
2217,API,APIs provide defined interfaces for software integration and communication for case 3.,"API, software, integration, applications, requests",Technology,api
2218,Natural Language Processing,Natural language processing is used for tasks such as text classification and search for case 3.,"NLP, language, text, AI, natural language",AI/ML,nlp
2219,Semantic Search,Semantic similarity can help search systems retrieve conceptually related documents for case 3.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
2220,Customer Support,Support representatives help customers resolve problems and answer questions for case 3.,"customer support, help, service, customers, tickets",Business,customer_support
2221,Password Reset,"According to the policy, users can change a forgotten password using the account recovery option. This option is available when applicable for case 1.","password, reset, recovery, account, login",IT,password_recovery
2222,Account Recovery,"According to the policy, account access can be restored after the registered email is verified. This option is available when applicable for case 1.","account recovery, email verification, account access, registered email",IT,account_recovery
2223,Remote Work Policy,"According to the policy, employees may work from home according to the company's remote work policy. This option is available when applicable for case 1.","remote work, work from home, employees, policy, flexible work",HR,remote_work
2224,Annual Leave,"According to the policy, staff members are entitled to 20 paid vacation days each year. This option is available when applicable for case 1.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
2225,Machine Learning,"According to the policy, machine learning systems identify useful patterns in data to make predictions. This option is available when applicable for case 1.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
2226,Python,"According to the policy, python is widely used to build applications and analyze data. This option is available when applicable for case 1.","Python, programming, data science, machine learning, software",Programming,python
2227,Health Insurance,"According to the policy, the company provides health insurance coverage to eligible employees. This option is available when applicable for case 1.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
2228,Work From Home,"According to the policy, staff members can work from home when permitted by company policy. This option is available when applicable for case 1.","work from home, remote work, employees, home office, flexible work",HR,remote_work
2229,Deep Learning,"According to the policy, deep learning models use layered neural networks to understand complex data. This option is available when applicable for case 1.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
2230,Employee Benefits,"According to the policy, the company offers employees benefits such as insurance, paid leave and retirement support. This option is available when applicable for case 1.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
2231,Phishing Protection,"Generally, employees should avoid suspicious links in unexpected emails to reduce phishing risks for case 3.","phishing, email, security, fraud, links",Security,phishing
2232,SQL,"Generally, sQL is used to query and manage information stored in relational databases for case 3.","SQL, database, query, data, tables",Programming,sql
2233,Data Science,"Generally, data science combines data analysis, statistics and machine learning to solve problems for case 3.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
2234,Sick Leave,"Generally, employees can request sick leave when they are unable to work because of illness for case 3.","sick leave, illness, leave, employees, absence",HR,sick_leave
2235,Data Privacy,"Generally, organizations should protect personal information from unauthorized access for case 3.","privacy, personal data, security, information, compliance",Security,data_privacy
2236,Cloud Computing,"Generally, cloud computing provides computing resources through internet-based services for case 3.","cloud, servers, storage, computing, technology",Technology,cloud_computing
2237,API,"Generally, an API allows different software applications to communicate with each other for case 3.","API, software, integration, applications, requests",Technology,api
2238,Natural Language Processing,"Generally, natural language processing enables computers to work with human language for case 3.","NLP, language, text, AI, natural language",AI/ML,nlp
2239,Semantic Search,"Generally, semantic search retrieves documents based on meaning rather than exact keyword matches for case 3.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
